dataset,command_id,analysis_role,protected_attribute,comparison,group,group_value,metric,estimate,ci_low,ci_high,ci_method,numerator,denominator,selected_family,test_auroc,threshold
Diabetes-130 (readmission),age_decomposition,primary,age_band,Youngest (under_30) vs Oldest (60_plus),Oldest (60_plus),60_plus,npv,0.9204545454545454,0.9159709626133846,0.9252803600039703,patient_cluster_bootstrap,11502,12496,calibrated_ensemble,0.6529590054791965,0.11718875502008032
Diabetes-130 (readmission),age_decomposition,primary,age_band,Youngest (under_30) vs Oldest (60_plus),Oldest (60_plus),60_plus,ppv,0.16836086404066072,0.15897100934676162,0.1775425904053452,patient_cluster_bootstrap,1325,7870,calibrated_ensemble,0.6529590054791965,0.11718875502008032
Diabetes-130 (readmission),age_decomposition,primary,age_band,Youngest (under_30) vs Oldest (60_plus),Oldest (60_plus),60_plus,prevalence,0.11386624766768143,0.10875589534262749,0.1181966537097278,patient_cluster_bootstrap,2319,20366,calibrated_ensemble,0.6529590054791965,0.11718875502008032
Diabetes-130 (readmission),age_decomposition,primary,age_band,Youngest (under_30) vs Oldest (60_plus),Oldest (60_plus),60_plus,sensitivity,0.5713669685209142,0.5505027919656211,0.5939124959613044,patient_cluster_bootstrap,1325,2319,calibrated_ensemble,0.6529590054791965,0.11718875502008032
Diabetes-130 (readmission),age_decomposition,primary,age_band,Youngest (under_30) vs Oldest (60_plus),Oldest (60_plus),60_plus,specificity,0.6373358452928465,0.6288980745064354,0.6456643704818811,patient_cluster_bootstrap,11502,18047,calibrated_ensemble,0.6529590054791965,0.11718875502008032
BRFSS 2022 (heart disease),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Youngest (18_44),18_44,npv,0.9908984960319662,0.9898643511912709,0.991827997697878,wilson,35710,36038,xgboost,0.8172988611282732,0.10025098566219702
BRFSS 2022 (heart disease),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Youngest (18_44),18_44,ppv,0.06807131280388978,0.06039749589512342,0.07664060043571744,wilson,252,3702,xgboost,0.8172988611282732,0.10025098566219702
BRFSS 2022 (heart disease),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Youngest (18_44),18_44,prevalence,0.01459486663311525,0.013461831990131004,0.01582173537782388,wilson,580,39740,xgboost,0.8172988611282732,0.10025098566219702
BRFSS 2022 (heart disease),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Youngest (18_44),18_44,sensitivity,0.43448275862068964,0.39470377189001565,0.47512390332593596,wilson,252,580,xgboost,0.8172988611282732,0.10025098566219702
BRFSS 2022 (heart disease),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Youngest (18_44),18_44,specificity,0.9118998978549541,0.9090520446903584,0.9146669470719838,wilson,35710,39160,xgboost,0.8172988611282732,0.10025098566219702
